testId,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,1560,36.076875,140.213332,10/22/2002,13:30:53,0:00:26
021022K1KA,1562,36.076876,140.213321,10/22/2002,13:30:53,0:00:26
021022K1KA,1564,36.076877,140.21331,10/22/2002,13:30:53,0:00:26
021022K1KA,1566,36.076878,140.213299,10/22/2002,13:30:53,0:00:26
021022K1KA,1568,36.076879,140.213288,10/22/2002,13:30:53,0:00:26
021022K1KA,1570,36.07688,140.213277,10/22/2002,13:30:53,0:00:26
021022K1KA,1572,36.076881,140.213266,10/22/2002,13:30:53,0:00:26
021022K1KA,1574,36.076882,140.213255,10/22/2002,13:30:53,0:00:26
021022K1KA,1576,36.076883,140.213244,10/22/2002,13:30:53,0:00:26
021022K1KA,1578,36.076884,140.213233,10/22/2002,13:30:53,0:00:26
021022K1KA,1580,36.076885,140.213222,10/22/2002,13:30:53,0:00:26
021022K1KA,1582,36.076886,140.213211,10/22/2002,13:30:53,0:00:26
021022K1KA,1584,36.076887,140.2132,10/22/2002,13:30:53,0:00:26
021022K1KA,1586,36.076888,140.213189,10/22/2002,13:30:53,0:00:26
021022K1KA,1588,36.076889,140.213178,10/22/2002,13:30:53,0:00:26
021022K1KA,1590,36.07689,140.213167,10/22/2002,13:30:54,0:00:27
021022K1KA,1592,36.076891,140.213156,10/22/2002,13:30:54,0:00:27
021022K1KA,1594,36.076892,140.213145,10/22/2002,13:30:54,0:00:27
021022K1KA,1596,36.076893,140.213134,10/22/2002,13:30:54,0:00:27
021022K1KA,1597,36.076894,140.213126,10/22/2002,13:30:54,0:00:27
021022K1KA,1598,36.076894,140.213123,10/22/2002,13:30:54,0:00:27
021022K1KA,1600,36.076895,140.213111,10/22/2002,13:30:54,0:00:27
021022K1KA,1602,36.076896,140.2131,10/22/2002,13:30:54,0:00:27
021022K1KA,1604,36.076897,140.213089,10/22/2002,13:30:54,0:00:27
021022K1KA,1606,36.076898,140.213078,10/22/2002,13:30:54,0:00:27
021022K1KA,1608,36.076899,140.213067,10/22/2002,13:30:54,0:00:27
021022K1KA,1610,36.0769,140.213056,10/22/2002,13:30:54,0:00:27
021022K1KA,1612,36.076901,140.213045,10/22/2002,13:30:54,0:00:27
021022K1KA,1614,36.076902,140.213034,10/22/2002,13:30:54,0:00:27
021022K1KA,1616,36.076903,140.213023,10/22/2002,13:30:54,0:00:27
021022K1KA,1619,36.076904,140.213012,10/22/2002,13:30:55,0:00:28
021022K1KA,1621,36.076905,140.213001,10/22/2002,13:30:55,0:00:28
021022K1KA,1623,36.076906,140.21299,10/22/2002,13:30:55,0:00:28
021022K1KA,1625,36.076907,140.212979,10/22/2002,13:30:55,0:00:28
021022K1KA,1627,36.076908,140.212968,10/22/2002,13:30:55,0:00:28
021022K1KA,1629,36.076909,140.212957,10/22/2002,13:30:55,0:00:28
021022K1KA,1632,36.07691,140.212946,10/22/2002,13:30:55,0:00:28
021022K1KA,1634,36.076911,140.212935,10/22/2002,13:30:55,0:00:28
021022K1KA,1636,36.076912,140.212924,10/22/2002,13:30:55,0:00:28
021022K1KA,1639,36.076913,140.212913,10/22/2002,13:30:55,0:00:28
021022K1KA,1641,36.076914,140.212902,10/22/2002,13:30:55,0:00:28
021022K1KA,1643,36.076915,140.212891,10/22/2002,13:30:55,0:00:28
021022K1KA,1646,36.076916,140.21288,10/22/2002,13:30:55,0:00:28
021022K1KA,1648,36.076917,140.212869,10/22/2002,13:30:55,0:00:28
